Link,Title (with link),Platform
https://youtu.be/k1CHGFwCDb0?si=3_hahwxLtOPuEEOp,"2024 Predictions on Tech, Business, and the Election",YouTube
https://youtu.be/otyoPiVAicI?si=JuLoyxRsuUfmIv4D,Provocative Predictions for the Future of Tech with NYU Marketing Professor Scott Galloway,YouTube
https://youtu.be/qEJ4hkpQW8E?si=CuGy913GUKuj9YUp,How the US Is Destroying Young Peopleâ€™s Future | Scott Galloway | TED,YouTube
https://www.youtube.com/watch?v=wLtLz4wQtOg,"NYU's Scott Galloway predicts Amazon's HQ2 will be in Washington, D.C. - YouTube",YouTube
https://www.youtube.com/watch?v=umUmrzounFI&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMQ%3D%3D,Predictions 2021 with Scott Galloway | Section4,YouTube
https://www.youtube.com/watch?v=Y7OAVZto0CQ&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMQ%3D%3D,2021 Predictions (Companies & Trends to Watch) | The Prof G Show,YouTube
https://www.youtube.com/watch?v=zRcl77pnbgY&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMdIHCQmECQGHKiGM7w%3D%3D,Provocative Predictions with Scott Galloway | SXSW 2022,YouTube
https://www.youtube.com/watch?v=iwDL89Ay46M&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMQ%3D%3D,Predicting the markets for 2022 with Professor Scott Galloway,YouTube
https://www.youtube.com/watch?v=chbr260glgI&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMg%3D%3D,Scott Galloway - Predictions for 2022 Post Pandemic,YouTube
https://www.youtube.com/watch?v=XfzMEqEYtDc&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMw%3D%3D,Breaking Down 2024 Predictions + Audience Comments and Pushback | Prof G Markets,YouTube
https://www.youtube.com/watch?v=I4psRiE_YaM&pp=ygUfc2NvdHQgZ2FsbG93YXkgcHJlZGljdGlvbnMgMjAyMw%3D%3D,Hear professor's prediction on the future of AI tools,YouTube
https://www.instagram.com/profgalloway/reel/DBXJxF0PtGh/,,Instagram
https://www.instagram.com/reel/DB7DxJ-y4B8/,,Instagram
https://www.tiktok.com/@pivotpodcast/video/7413007323750223146,,TikTok
https://www.tiktok.com/@pivotpodcast/video/7383798223250541866,,TikTok
https://www.tiktok.com/@pivotpodcast/video/7298097264566799647,,TikTok
https://www.tiktok.com/@profgalloway/video/7346406421468138782?lang=en,,TikTok
https://www.tiktok.com/@profgalloway/video/7372751570863131934?lang=en,,TikTok
https://www.tiktok.com/@profgalloway/video/7151196278095924523?lang=en,,TikTok
https://www.tiktok.com/@profgalloway/video/7186747807074684203?lang=en,,TikTok
https://www.tiktok.com/@profgalloway/video/7216097872750677290?lang=en,,TikTok
https://www.tiktok.com/@profgalloway/video/7240643693919718699?lang=en,,TikTok
https://www.tiktok.com/@profgalloway/video/7324911493290528031?lang=en,,TikTok
https://www.youtube.com/shorts/Pt2Awv92Fiw,,YouTube
,,YouTube